G;;;;;;;;;;;;;
81;;;;;;;;;;;;;
81;;;;;;;;;;;;;
75;;;;;;;;;;;;;
76;;;;;;;;;;;;;
77;;;;;;;;;;;;;
72;;;;;;;;;;;;;
71;;;;;;;;;;;;;
66;;;;;;;;;;;;;
61;;;;;;;;;;;;;
62;;;;;;;;;;;;;
62;;;;;;;;;;;;;
69;;;;;;;;;;;;;
67;;;;;;;;;;;;;
61;;;;;;;;;;;;;
60;;;;;;;;;;;;;
56;;;;;;;;;;;;;
64;;;;;;;;;;;;;
59;;;;;;;;;;;;;
62;;;;;;;;;;;;;
66;;;;;;;;;;;;;
54;;;;;;;;;;;;;
58;;;;;;;;;;;;;
65;;;;;;;;;;;;;
57;;;;;;;;;;;;;
61;;;;;;;;;;;;;
60;;;;;;;;;;;;;
59;;;;;;;;;;;;;
63;;;;;;;;;;;;;
62;;;;;;;;;;;;;
54;;;;;;;;;;;;;
59;;;;;;;;;;;;;
54;;;;;;;;;;;;;
47;;;;;;;;;;;;;
51;;;;;;;;;;;;;
58;;;;;;;;;;;;;
50;;;;;;;;;;;;;
54;;;;;;;;;;;;;
53;;;;;;;;;;;;;
52;;;;;;;;;;;;;
52;;;;;;;;;;;;;
38;;;;;;;;;;;;;
61;;;;;;;;;;;;;
48;;;;;;;;;;;;;
50;;;;;;;;;;;;;
46;;;;;;;;;;;;;
46;;;;;;;;;;;;;
48;;;;;;;;;;;;;
34;;;;;;;;;;;;;
