0,1,2,3,4
Australia,1 - 0,Denmark,3,-21
Peru,3 - 2,Denmark,3,7
Argentina,3 - 1,Island,3,6
Argentina,1 - 1,Croatia,3,23
Argentina,0 - 1,Nigeria,3,-39
Island,2 - 0,Croatia,3,40
Island,0 - 2,Nigeria,3,-25
Croatia,0 - 0,Nigeria,3,8
Brazil,1 - 1,Switzerland,3,11
Brazil,3 - 1,Costa Rica,3,24
Brazil,4 - 0,Serbia,3,-43
Switzerland,1 - 3,Costa Rica,3,44
Switzerland,1 - 2,Serbia,3,-26
Costa Rica,1 - 1,Serbia,3,9
Germany,0 - 0,Mexico,3,10
Germany,3 - 1,Sweden,3,29
Germany,3 - 1,South Korea,3,-42
Mexico,1 - 2,Sweden,3,41
Mexico,3 - 4,South Korea,3,-28
Sweden,3 - 2,South Korea,3,12
Belgium,3 - 0,Panama,3,13
Belgium,2 - 1,Tunesia,3,27
Belgium,1 - 2,England,3,-45
Panama,1 - 3,Tunesia,3,47
Panama,0 - 0,England,3,-30
Tunesia,0 - 6,England,3,14
Poland,2 - 1,Senegal,3,16
Poland,1 - 3,Colombia,3,32
Poland,2 - 1,Japan,3,-48
Senegal,4 - 2,Colombia,3,46
Senegal,0 - 0,Japan,3,-31
Colombia,3 - 0,Japan,3,15
Russia,3 - 1,Saudi Arabia,4,1
Russia,0 - 1,Egypt,4,17
Russia,2 - 1,Uruguay,4,-34
Saudi Arabia,1 - 5,Egypt,4,33
Saudi Arabia,1 - 3,Uruguay,4,-19
Egypt,0 - 1,Uruguay,4,2
Portugal,0 - 2,Spain,4,4
Portugal,3 - 1,Morocco,4,18
Portugal,4 - 2,Iran,4,-35
Spain,1 - 0,Morocco,4,36
Spain,5 - 1,Iran,4,-20
Morocco,0 - 2,Iran,4,3
France,2 - 1,Australia,4,5
France,1 - 2,Peru,4,22
France,1 - 2,Denmark,4,-38
Australia,2 - 2,Peru,4,37
Australia,1 - 1,Denmark,4,-21
Peru,0 - 5,Denmark,4,7
Argentina,1 - 0,Island,4,6
Argentina,1 - 0,Croatia,4,23
Argentina,3 - 0,Nigeria,4,-39
Island,1 - 2,Croatia,4,40
Island,1 - 3,Nigeria,4,-25
Croatia,2 - 2,Nigeria,4,8
Brazil,5 - 0,Switzerland,4,11
Brazil,2 - 0,Costa Rica,4,24
Brazil,4 - 0,Serbia,4,-43
Switzerland,1 - 0,Costa Rica,4,44
Switzerland,5 - 0,Serbia,4,-26
Costa Rica,2 - 1,Serbia,4,9
Germany,3 - 0,Mexico,4,10
Germany,2 - 0,Sweden,4,29
Germany,2 - 0,South Korea,4,-42
Mexico,2 - 0,Sweden,4,41
Mexico,2 - 2,South Korea,4,-28
Sweden,3 - 1,South Korea,4,12
Belgium,1 - 0,Panama,4,13
Belgium,2 - 3,Tunesia,4,27
Belgium,3 - 2,England,4,-45
Panama,4 - 4,Tunesia,4,47
Panama,0 - 3,England,4,-30
Tunesia,0 - 1,England,4,14
Poland,1 - 1,Senegal,4,16
Poland,1 - 1,Colombia,4,32
Poland,2 - 1,Japan,4,-48
Senegal,3 - 3,Colombia,4,46
Senegal,2 - 2,Japan,4,-31
Colombia,1 - 0,Japan,4,15
Russia,7 - 0,Saudi Arabia,5,1
Russia,1 - 2,Egypt,5,17
Russia,0 - 1,Uruguay,5,-34
Saudi Arabia,0 - 3,Egypt,5,33
Saudi Arabia,2 - 3,Uruguay,5,-19
Egypt,1 - 4,Uruguay,5,2
Portugal,2 - 2,Spain,5,4
Portugal,2 - 0,Morocco,5,18
Portugal,3 - 0,Iran,5,-35
Spain,2 - 1,Morocco,5,36
Spain,2 - 0,Iran,5,-20
Morocco,3 - 3,Iran,5,3
France,3 - 2,Australia,5,5
France,0 - 1,Peru,5,22
France,3 - 2,Denmark,5,-38
Australia,1 - 2,Peru,5,37
Australia,0 - 2,Denmark,5,-21
Peru,3 - 2,Denmark,5,7
Argentina,0 - 1,Island,5,6
